"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student","ranking_2017","ranking_2011","rank4"
"Азовський морський інститут Національного університету «Одеська морська академія»",,,105.666666666667,191.333333333333,143.9,"http://ami.edu.ua/ua/",15000,,,500,"Донецька область",22,115,377,3,17,0,115,,121,117,-4
"Академія Державної пенітенціарної служби",,,101,181.333333333333,132.9,"http://academy.kvs.gov.ua",10333,,,500,"Чернігівська область",151,185,267,1,2,0,293,,263,,
"Академія праці, соціальних відносин і туризму",,,103.666666666667,180.666666666667,133.1,,11666,,"158, 159",158,"м. Київ",,183,1157,6,,0,282,,260,227,-33
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка",,,0,0,0,"http://new.gnpu.edu.ua/uk/",12000,,,500,"Вінницька область",,30,36,1,,0,30,,362,,
"Бердянський державний педагогічний університет",,,101.5,186.333333333333,136.7,"http://bdpu.org/sites/bdpu.org/files/vartist.pdf",9200,,"115",115,"Запорізька область",227,1022,1131,1,5,0,1881,,210,202,-8
"Білоцерківська філія Вищого навчального закладу ""Одеська державна академія технічного регулювання та якості""",,,,,,,,,,,,,30,41,1,,0,30,,363,,
"Білоцерківський інститут економіки та управління вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,112,158.666666666667,128.7,"http://bc-uu.com.ua",10700,,,500,"Київська область",,46,143,3,,0,74,,303,315,12
"Білоцерківський інститут неперервної професійної освіти",,,,,,,,,,,,,13,14,1,,0,51,,364,,
"Білоцерківський коледж фінансів, обліку та аудиту Національної академії статистики, обліку та аудиту",,,0,0,0,"https://bfdasoa.com.ua/",10000,,,500,"Київська область",,32,39,1,,0,32,,365,,
"Білоцерківський національний аграрний університет",0,2,102.666666666667,191.333333333333,136.6,"http://btsau.edu.ua",11912,,"145",145,"Київська область",487,1142,3230,3,7,-1,2127,0,211,204,-7
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу",,,0,0,0,"http://bek.if.ua",,,,500,"Івано-Франківська область",35,91,162,2,5,0,91,,366,,
"Вищий державний навчальний заклад України ""Буковинський державний медичний університет""",33,89,114.666666666667,196.333333333333,162.154285714286,"https://www.bsmu.edu.ua/",19228,,"34,35",34,"Чернівецька область",,525,5791,11.0304761904762,,2.6969696969697,525,62.8571428571429,19,25,6
"Вищий державний навчальний заклад України ""Українська медична стоматологічна академія""",22,53,109.666666666667,196,156.755868544601,"http://umsa.edu.ua",22090,,,,"Полтавська область",,639,3953,6.18622848200313,,2.40909090909091,639,34.4287949921753,33,23,-10
"Вищий навчальний заклад ""Відкритий міжнародний університет розвитку людини ""Україна""",1,10,103,184,130,"http://ab.uu.edu.ua/",7400,2016,"147, 148",147,"м. Київ",,399,1646,4,,10,604,1.65562913907285,290,295,5
"Вищий навчальний заклад ""Київська Академія перукарського мистецтва""",,,106.5,168.5,130,"http://kapi.com.ua/",15600,,"184",184,"м. Київ",,45,65,1,,0,45,,289,,
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю",,,109.333333333333,146.666666666667,125.4,"http://kumr.edu.ua",12397,,"230",230,"м. Київ",,116,359,3,,0,186,,330,326,-4
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",,,100.333333333333,123,112.6,"http://mpi.mk.ua/",7140,,"270",270,"Миколаївська область",,74,143,2,,0,74,,360,,
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""",12,7,124,161.666666666667,138.7,"http://kachestvo.od.ua",8150,,"228, 229",228,"Одеська область",31,125,580,5,19,0.6,234,51.2820512820513,189,376,187
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту""",,,0,0,0,"http://viem.edu.ua",10000,,"214",214,"Волинська область",,2,64,32,,0,2,,367,279,-88
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Львівський інститут менеджменту""",,,113.666666666667,183.333333333333,140.1,"http://www.lim.lviv.ua",12500,,"198",198,"Львівська область",,28,243,9,,0,50,,170,155,-15
"Вищий навчальний заклад ""Український католицький університет""",,,129.666666666667,198.666666666667,177.5,"https://ucu.edu.ua/",29000,,"124",124,"Львівська область",,321,1278,4,,0,604,,2,36,34
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",1,2,103,186,133.8,"http://www.krok.edu.ua",14620,,"73",73,"м. Київ",,414,3035,7,,2,488,2.04918032786885,248,230,-18
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",2,1,100.666666666667,196,143,"http://abit.duan.edu.ua/uk/",13740,,"103",103,"Дніпропетровська область",,788,3814,5,,0.5,1356,1.47492625368732,133,,
"Вищий навчальний заклад Інститут реклами (у формі товариства з обмеженою відповідальністю)",,,109.5,169,136,"http://ir.edu.ua",9250,,"258",258,"м. Київ",,23,91,4,,0,50,,225,419,194
"Вищий навчальний заклад Укоопспілки ""Полтавський університет економіки і торгівлі""",26,27,102.333333333333,191,137.3,"http://puet.edu.ua/",9445,,"165",165,"Полтавська область",,1262,3009,2,,1,2137,12.1665886757136,201,234,33
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""",,,112.666666666667,182,160.3,"http://limilm.lviv.ua/vstup",10700,,,500,"Львівська область",43,50,455,9,11,0,50,,22,,
"Вищий навчальний приватний заклад «Дніпропетровський гуманітарний університет»",,,102,177.333333333333,130.3,"http://dgu.com.ua",11466,,"238, 239",238,"Дніпропетровська область",,150,1479,10,,0,150,,286,316,30
"Відокремлений підрозділ ""Дніпровський факультет Київського національного університету культури і мистецтв""",,,,,,,,,,,,,20,20,1,,0,20,,368,,
"Відокремлений підрозділ ""Дніпровський факультет менеджменту і бізнесу Київського університету культури""",,,101,184.5,129.3,,,,,500,"Дніпропетровська область",,230,337,1,,0,230,,295,,
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""",,,114,182.666666666667,148.5,"http://lfknukim.info/",,,,500,"Львівська область",51,100,101,1,2,0,100,,70,,
"Відокремлений підрозділ ""Львівський факультет менеджменту і бізнесу Київського університету культури""",,,106.333333333333,163.5,131.2,,,,,500,"Львівська область",,151,282,2,,0,151,,281,,
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""",,,104.5,185.666666666667,137.6,"http://www.mfknukim.mk.ua/",,,,500,"Миколаївська область",86,243,245,1,3,0,243,,198,,
"Відокремлений підрозділ ""Миколаївський факультет менеджменту і бізнесу Київського університету культури""",,,102,176.5,127.1,,,,,500,"Миколаївська область",,253,441,2,,0,253,,322,,
"Відокремлений підрозділ «Кадіївський педагогічний коледж Луганського національного університету імені Тараса Шевченка»",,,,,,,,,,,,,8,10,1,,0,8,,369,,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",,,100,167.333333333333,132.8,"http://www.bati.nubip.edu.ua/index.php/ua/",17165,,,500,"Тернопільська область",66,304,519,2,8,0,529,,265,289,24
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Немішаївський агротехнічний коледж""",,,,,,,,,,,,60,87,87,1,1,0,87,,370,,
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""",,,103.666666666667,170.333333333333,129.9,"http://ti.org.ua/",17165,,,500,"Чернігівська область",59,151,342,2,6,0,243,,291,305,14
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",,,144,144,144,"http://www.knuba.edu.ua/",13500,,,500,"м. Київ",,9,697,77,,0,9,,117,,
"Відокремлений структурний підрозділ Навчально-науковий інститут підприємництва та перспективних технологій Національного університету ""Львівська політехніка""",,,120.333333333333,163.333333333333,142.1,"http://ippt.lp.edu.ua",13692,,,500,"Львівська область",,137,343,3,,0,174,,140,,
"Відокремлений структурний підрозділ Національного авіаційного університету ""Кіровоградська льотна академія Національного авіаційного університету""",,,106,190,149.2,"http://www.glau.kr.ua",11981,,,500,"Кіровоградська область",71,135,277,2,4,0,328,,66,179,113
"Вінницька філія Приватного вищого навчального закладу «Київський інститут бізнесу та технологій» товариство з обмеженою відповідальністю",,,0,0,0,"http://kibit.edu.ua/ru/where/vinnitsa/",10500,,,500,"Вінницька область",,13,34,3,,0,13,,371,,
"Вінницька філія Приватного вищого навчального закладу «Університет сучасних знань»",,,106.333333333333,118,113.2,"http://usz.vn.ua",8200,,,500,"Вінницька область",,34,74,2,,0,34,,358,,
"Вінницький державний педагогічний університет імені Михайла Коцюбинського",,,101,192.333333333333,144.9,"http://www.vspu.edu.ua",9323,,"149",149,"Вінницька область",375,1092,5213,5,14,0,1999,,108,74,-34
"Вінницький кооперативний інститут",,,121.666666666667,148.333333333333,134.2,"http://www.vki.vin.ua/",13000,,"235",235,"Вінницька область",,79,302,4,,0,94,,246,285,39
"Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету",,,105.333333333333,181.666666666667,136.3,"http://www.vie.vin.ua/",,,,500,"Вінницька область",14,179,634,4,45,0,299,,219,,
"Вінницький національний аграрний університет",,,100.333333333333,186.666666666667,135.3,"http://www.vsau.org",8625,,"118",118,"Вінницька область",298,1544,7777,5,26,0,2624,,231,151,-80
"Вінницький національний медичний університет ім. М. І. Пирогова",2,24,102.666666666667,198.666666666667,162.993230174081,"https://www.vnmu.edu.ua/",26000,,,,"Вінницька область",,1034,9711,9.39168278529981,,12,1034,1.93423597678917,15,9,-6
"Вінницький національний технічний університет",93,204,102.333333333333,192,149.3,"http://vntu.edu.ua",9100,,"23",23,"Вінницька область",495,953,6127,6,12,2.2,1870,49.7326203208556,63,68,5
"Вінницький соціально-економічний інститут Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",,,110.666666666667,144.333333333333,127.1,"http://vn.vmurol.com.ua",8775,,,500,"Вінницька область",,56,298,5,,0,149,,321,335,14
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету",,,105.333333333333,189,141.9,"http://www.vtei.com.ua",10087,,,500,"Вінницька область",57,1066,4281,4,75,0,1580,,143,55,-88
"Волинська православна богословська академія Української православної церкви Київського патріархату",,,,,,,,,,,,,4,5,1,,0,4,,372,,
"Волинський інститут імені В'ячеслава Липинського Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",,,110,125.333333333333,116,"http://volyn.maup.com.ua",10380,,,500,"Волинська область",,4,21,5,,0,4,,355,,
"Вугледарський коледж Донецького державного університету управління",,,,,,,,,,,,,10,13,1,,0,10,,373,,
"Глухівський агротехнічний інститут імені С.А. Ковпака Сумського національного аграрного університету",,,,,,,,,,,,56,124,131,1,2,0,124,,374,,
"Глухівський національний педагогічний університет імені Олександра Довженка",,,105,182,136,"http://new.gnpu.edu.ua/",12000,,"192, 193",192,"Сумська область",305,438,1103,3,4,0,939,,224,252,28
"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""",,,103.5,189.333333333333,143.7,"-",12419,,,500,"Донецька область",156,223,558,3,4,0,326,,123,118,-5
"Горлівський регіональний інститут вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",,,0,0,0,"http://griuu.org",11500,,,500,"Донецька область",,13,16,1,,0,22,,375,404,29
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",,,104,181.333333333333,136,"http://www.slavdpu.dn.ua/",12419,,"180",180,"Донецька область",308,668,1717,3,6,0,947,,223,,
"Державний вищий навчальний заклад ""Донецький національний технічний університет""",49,252,101.333333333333,183.333333333333,137,"http://donntu.edu.ua",13600,,"17",17,"Донецька область",288,510,1712,3,6,5.1,793,61.7906683480454,206,116,-90
"Державний вищий навчальний заклад ""Івано-Франківський національний медичний університет""",,95,109.666666666667,197.333333333333,162.942206654991,"http://www.ifnmu.edu.ua",20783,,"62",62,"Івано-Франківська область",,571,5873,10.2854640980736,,,571,,16,14,-2
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",25,13,103.666666666667,197.666666666667,160.1,"http://kneu.edu.ua",21300,,"30",30,"м. Київ",678,2540,19601,8,29,0.5,3792,6.59282700421941,25,4,-21
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""",,,101,195.666666666667,143.1,"http://kdpu.edu.ua",12661,,"172",172,"Дніпропетровська область",316,862,3148,4,10,0,1443,,130,,
"Державний вищий навчальний заклад ""Криворізький національний університет""",16,34,102.666666666667,195,142.8,"http://knu.edu.ua",10554,,"70, 71",70,"Дніпропетровська область",481,958,3204,3,7,2.1,1753,9.12721049629207,136,,
"Державний вищий навчальний заклад ""Національний гірничий університет""",44,76,101.333333333333,198,148.1,"http://www.nmu.org.ua",11233,,"28",28,"Дніпропетровська область",808,1713,8473,5,10,1.7,2805,15.6862745098039,74,113,39
"Державний вищий навчальний заклад ""Національний лісотехнічний університет України""",29,291,103.333333333333,192,145.3,"http://pk.nltu.edu.ua",9816,,"49",49,"Львівська область",281,639,2747,4,10,10,1124,25.8007117437722,102,71,-31
"Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""",,,100,192.666666666667,134.2,"http://phdpu.edu.ua",10465,,"93",93,"Київська область",597,1079,2827,3,5,0,2252,,245,221,-24
"Державний вищий навчальний заклад ""Приазовський державний технічний університет""",40,108,100.666666666667,194.666666666667,140.1,"http://pstu.edu",8475,,"77",77,"Донецька область",434,975,2630,3,6,2.7,1600,25,169,149,-20
"Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""",6,68,103.666666666667,191.5,146.5,"http://new.pgasa.dp.ua",9750,,"68",68,"Дніпропетровська область",277,678,3065,5,11,11.3,1457,4.11805078929307,89,132,43
"Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""",88,960,100.333333333333,195.666666666667,147.1,"http://www.pu.if.ua",11277,,"16",16,"Івано-Франківська область",628,3007,6144,2,10,10.9,4632,18.9982728842832,81,89,8
"Державний вищий навчальний заклад ""Тернопiльський державний медичний університет iменi I.Я. Горбачевського Міністерства охорони здоров`я України""",133,129,113.666666666667,197,160.119883040936,"http://vstup.tdmu.edu.ua/",16422,,"54, 56",54,"Тернопільська область",,570,6019,10.559649122807,,0.969924812030075,570,233.333333333333,23,15,-8
"Державний вищий навчальний заклад ""Ужгородський національний університет""",88,894,100.666666666667,195,145.8,"http://www.uzhnu.edu.ua",12277,,"20, 21",20,"Закарпатська область",674,1981,10531,5,16,10.2,3816,23.0607966457023,94,82,-12
"Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",66,673,101.666666666667,196.666666666667,138.7,"http://udhtu.edu.ua",9500,,"88",88,"Дніпропетровська область",244,722,4655,6,19,10.2,1365,48.3516483516484,188,183,-5
"Державний вищий навчальний заклад ""Університет банківської справи""",55,30,112.333333333333,193.333333333333,162.9,"http://ubs.edu.ua",15500,,"76",76,"м. Київ",38,62,762,12,20,0.5,164,335.365853658537,17,19,2
"Державний вищий навчальний заклад ""Університет менеджменту освіти""",,,104.666666666667,167.666666666667,133.3,"http://umo.edu.ua/",9666,,"183",183,"м. Київ",,87,499,6,,0,118,,257,,
"Державний вищий навчальний заклад ""Херсонський державний аграрний університет""",,,104,175.666666666667,133.6,"http://www.ksau.kherson.ua",9000,,"135, 136",135,"Херсонська область",202,453,1872,4,9,0,828,,251,194,-57
"Державний заклад ""Дніпропетровська медична академія Міністерства охорони здоров'я України""",14,723,112.333333333333,196,167.533200531209,"http://www.dsma.dp.ua/ua/",31039,,"46",46,"Дніпропетровська область",,502,2982,5.9402390438247,,51.6428571428571,502,27.8884462151394,7,26,19
"Державний заклад ""Луганський державний медичний університет""",8,65,103.333333333333,181.666666666667,141.809523809524,"http://www.lsmu.edu.ua/",15500,,,,"Луганська область",,84,589,7.01190476190476,,8.125,84,95.2380952380952,144,49,-95
"Державний заклад ""Луганський національний університет імені Тараса Шевченка""",9,63,100.333333333333,191.5,133.5,"http://luguniv.edu.ua",9071,,"52",52,"Луганська область",681,1358,3792,3,6,7,1358,6.62739322533137,253,187,-66
"Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»",5,125,101.333333333333,192.666666666667,139.9,"http://www.pdpu.edu.ua",10585,,"53",53,"Одеська область",260,1062,4843,5,19,25,1762,2.83768444948922,175,196,21
"Державний університет інфраструктури та технологій",,,101.666666666667,187,134.6,"http://duit.org.ua",14580,,,500,"м. Київ",124,696,1772,3,14,0,1150,,239,,
"Державний університет телекомунікацій",,,103,189,144.1,"http://www.dut.edu.ua",14066,,"127",127,"м. Київ",183,1208,6425,5,35,0,1673,,113,51,-62
"Дніпровська філія вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,0,0,0,"http://dn.vmurol.com.ua",7975,,,500,"Дніпропетровська область",,9,30,3,,0,9,,376,394,18
"Дніпровський державний технічний університет",12,24,103.333333333333,186.666666666667,136.4,"http://www.dstu.dp.ua/uni/index.html",9240,,"156",156,"Дніпропетровська область",128,392,1432,4,11,2,393,30.5343511450382,215,284,69
"Дніпропетровський державний аграрно-економічний університет",9,23,101.666666666667,198,136.3,"https://www.dsau.dp.ua/",10400,,"107, 108",107,"Дніпропетровська область",315,839,4104,5,13,2.6,1011,8.90207715133531,218,,
"Дніпропетровський державний інститут фізичної культури і спорту",,,101,179,128.5,"http://infiz.dp.ua/",11240,,,500,"Дніпропетровська область",104,171,361,2,3,0,245,,307,417,110
"Дніпропетровський державний університет внутрішніх справ",,,101.5,188,131.8,"http://dduvs.in.ua",13650,,"192, 193",192,"Дніпропетровська область",,805,820,1,,0,805,,277,257,-20
"Дніпропетровський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",,,103.666666666667,131.666666666667,114.7,"http://maup.dp.ua/",10866,,,500,"Дніпропетровська область",,8,88,11,,0,8,,356,,
"Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна",11,41,102.333333333333,194.666666666667,148.1,"http://diit.edu.ua/",11372,,"51",51,"Дніпропетровська область",395,785,4734,6,12,3.7,1331,8.26446280991736,73,111,38
"Дніпропетровський національний університет імені Олеся Гончара",263,1787,113,196,159.7,"http://www.dnu.dp.ua/",13362,,"11",11,"Дніпропетровська область",715,1746,15085,9,21,6.8,3167,83.0438901168298,27,45,18
"Дніпропетровський регіональний інститут державного управління Національної академії державного управління при Президентові України",,,102.666666666667,179,134.4,"http://www.dridu.dp.ua",12000,,,500,"Дніпропетровська область",,32,204,6,,0,278,,242,175,-67
"Донбаська державна машинобудівна академія",29,293,100,186.333333333333,139.2,"http://www.dgma.donetsk.ua",12375,,"42",42,"Донецька область",356,518,1605,3,5,10.1,518,55.984555984556,181,163,-18
"Донбаська національна академія будівництва і архітектури",7,25,104.333333333333,186,141.8,"http://www.donba.edu.ua/",15000,,"130, 131",130,"Донецька область",106,140,299,2,3,3.6,193,36.2694300518135,146,231,85
"Донбаський державний технічний університет",,,100,164.333333333333,124.8,"http://dondtu.edu.ua",9166,,"219, 220",219,"Луганська область",206,303,525,2,3,0,488,,333,280,-53
"Донецька філія Приватного вищого навчального закладу «Університет сучасних знань»",,,121,162,134.7,"http://usz.1gb.ua",10900,,,500,"Донецька область",,17,19,1,,0,17,,237,,
"Донецький державний університет управління",2,32,104.333333333333,174,143.2,"http://dsum.edu.ua",11080,,"107, 108",107,"Донецька область",118,185,594,3,5,16,185,10.8108108108108,127,142,15
