"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Приватне акціонерне товариство «Вищий навчальний заклад «Національна академія управління»",,,103.666666666667,164,133.3,"http://nam.kiev.ua/",11984,,"142",142,"м. Київ",,33,290,9,,0,78,
"Приватне акціонерне товариство «Приватний вищий навчальний заклад «Запорізький інститут економіки та інформаційних технологій»",,,112.666666666667,179.666666666667,143.9,"http://www.econom.zp.ua",11638,,"287",287,"Запорізька область",,79,327,4,,0,202,
"Приватне акціонерне товариство «Українсько-Польський вищий навчальний заклад «Центрально-Європейський університет»",,,108.333333333333,183,142.1,"https://www.c-e-u.info",12475,,,500,"м. Київ",,69,184,3,,0,141,
"Приватний вищий навчальний заклад «Академія рекреаційних технологій і права»",,,101,155,127.5,"http://www.artip.lutsk.ua",,,"273",273,"Волинська область",,157,337,2,,0,230,
"Приватний вищий навчальний заклад «Бориспільський інститут муніципального менеджменту при Міжрегіональній Академії управління персоналом»",,,119,129.333333333333,124.6,"http://bor.maup.com.ua/",8133,,,500,"Київська область",,17,17,1,,0,17,
"Приватний вищий навчальний заклад «Вінницький інститут конструювання одягу і підприємництва»",,,113,113,113,"http://vikop.org.ua",7800,,"285",285,"Вінницька область",,27,38,1,,0,41,
"Приватний вищий навчальний заклад «Вінницький фінансово-економічний університет»",,,105.333333333333,151.666666666667,127.9,"http://vfeu.edu.ua",,,,500,"Вінницька область",,20,190,10,,0,40,
"Приватний вищий навчальний заклад «Галицька Академія»",,,,,,,,,,,,,18,21,1,,0,24,
"Приватний вищий навчальний заклад «Донецький університет економіки та права»",,,117.333333333333,175,140.8,"http://donuep.edu.ua",13900,,"261, 262",261,"Донецька область",,29,48,2,,0,72,
"Приватний вищий навчальний заклад «Європейський університет»",,,105,182,129.3,"https://e-u.in.ua/",8000,,"125, 126",125,"м. Київ",,248,790,3,,0,510,
"Приватний вищий навчальний заклад «Інститут ділового адміністрування»",,,0,0,0,"http://ida.in.ua/",8800,2016,"281, 282",281,"Дніпропетровська область",,2,34,17,,0,2,
"Приватний вищий навчальний заклад «Інститут екології економіки і права»",,,121,144.666666666667,133.3,"https://ieep.org.ua",7900,,"268",268,"м. Київ",,5,181,36,,0,5,
"Приватний вищий навчальний заклад «Київський інститут бізнесу та технологій"" Товариство з обмеженою відповідальністю",,,105.333333333333,160.666666666667,128.9,"http://kibit.edu.ua",23400,,,500,"м. Київ",,91,421,5,,0,91,
"Приватний вищий навчальний заклад «Київський університет культури»",,,102.5,190,137.1,"http://kuk-university.com/",,,,500,"м. Київ",,1058,3240,3,,0,1058,
"Приватний вищий навчальний заклад «Комп`ютерна Академія «Шаг»",,,108.333333333333,182,149.6,"https://high.itstep.org/",35000,,,500,"Львівська область",,37,37,1,,0,37,
"Приватний вищий навчальний заклад «Кропивницький інститут державного та муніципального управління»",,,107.333333333333,163.666666666667,125.1,"http://kidmu.com.ua",10000,,,500,"Кіровоградська область",,41,84,2,,0,41,
"Приватний вищий навчальний заклад «Львівський університет бізнесу та права»",2,1,108.666666666667,155.666666666667,129.1,"http://lubp.com.ua",15900,,"246",246,"Львівська область",,50,537,11,,0.5,111,18.018018018018
"Приватний вищий навчальний заклад «Макіївський економіко-гуманітарний інститут»",,,,,,,,,,,,,7,7,1,,0,24,
"Приватний вищий навчальний заклад «Медико-природничий університет»",,,111.333333333333,121,117.4,"http://vnz-mpu.com.ua",12000,,,500,"Миколаївська область",,7,16,2,,0,7,
"Приватний вищий навчальний заклад «Мистецький інститут художнього моделювання та дизайну імені Сальвадора Далі»",,,112.333333333333,169,135.8,"http://mixmd.edu.ua",19470,,"233",233,"м. Київ",,59,155,3,,0,59,
"Приватний вищий навчальний заклад «Міжнародний економіко-гуманітарний університет імені академіка Степана Дем'янчука»",,,101,189.333333333333,128,"http://www.regi.rovno.ua",8691,,"174",174,"Рівненська область",,454,1883,4,,0,776,
"Приватний вищий навчальний заклад «Міжнародний класичний університет імені Пилипа Орлика»",,,104,139.666666666667,119.9,"https://mku.edu.ua",8000,,"269",269,"Миколаївська область",,13,225,17,,0,15,
"Приватний вищий навчальний заклад «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",,,100.333333333333,175.333333333333,128.4,"https://istu.edu.ua/abiturijentu/",13400,,"188, 189",188,"м. Київ",,269,1488,6,,0,443,
"Приватний вищий навчальний заклад «Міжнародний університет фінансів»",,,115.333333333333,161.333333333333,139.8,"http://iuf.edu.ua",16000,,"211",211,"м. Київ",,21,159,8,,0,36,
"Приватний вищий навчальний заклад «Нікопольський економічний університет»",,,111,165.666666666667,131.4,"http://www.neu.edu.ua",9600,,"276",276,"Дніпропетровська область",,19,27,1,,0,26,
"Приватний вищий навчальний заклад «Новокаховський політехнічний інститут»",,,118.333333333333,118.333333333333,118.3,"http://www.nkpi.com.ua",7000,,"284",284,"Херсонська область",,12,17,1,,0,12,
"Приватний вищий навчальний заклад «Тернопільський інститут соціальних та інформаційних технологій»",,,106.333333333333,168.666666666667,135.5,"https://www.tisit.edu.ua",7900,,"231",231,"Тернопільська область",,29,134,5,,0,66,
"Приватний вищий навчальний заклад «Український гуманітарний інститут»",,,101,184.333333333333,141.4,"http://ugi.edu.ua",17055,,"217",217,"Київська область",,39,87,2,,0,39,
"Приватний вищий навчальний заклад «Українсько-американський гуманітарний інститут ""Вісконсинський Міжнародний Університет (США) в Україні»",,,111,190.666666666667,160,"http://www.wiuu.edu.ua",22113,,"203",203,"м. Київ",,39,152,4,,0,39,
"Приватний вищий навчальний заклад «Університет економіки і підприємництва»",,,112,124.333333333333,116.5,"https://www.uniep.km.ua",8800,,"248",248,"Хмельницька область",,7,32,5,,0,16,
"Приватний вищий навчальний заклад «Університет сучасних знань»",,,106.666666666667,167.333333333333,135.3,"http://usz.1gb.ua",10900,,"125, 126",125,"м. Київ",,99,237,2,,0,138,
"Приватний вищий навчальний заклад «Буковинський університет»",,,109.666666666667,164.333333333333,131.8,"http://www.bukuniver.edu.ua",8750,,"204",204,"Чернівецька область",,13,264,20,,0,13,
"Приватний вищий навчальний заклад «Хмельницький економічний університет»",,,123.333333333333,173,146.7,"https://www.kheu.km.ua",,,"253",253,"Хмельницька область",,24,115,5,,0,55,
"Приватний вищий навчальний заклад Івано-Франківський університет права імені Короля Данила Галицького",,,105.5,190,139.9,"http://iful.edu.ua",12110,,"247",247,"Івано-Франківська область",,383,1161,3,,0,559,
"Приватний вищий навчальний заклад Міжнародний університет бізнесу і права",,,112.333333333333,115.666666666667,114.3,"http://www.mubip.com",,,"237",237,"Херсонська область",,26,72,3,,0,84,
"Приватний вищий навчальний заклад Університет новітніх технологій",,,142.666666666667,142.666666666667,142.7,"http://www.unt.kiev.ua",11400,,"272",272,"м. Київ",,12,52,4,,0,45,
"Приватний вищий навчальний заклад Харківський гуманітарний університет «Народна українська академія»",,,107.333333333333,179.333333333333,145.7,"http://www.nua.kharkov.ua",16800,,"157",157,"Харківська область",,90,333,4,,0,162,
"Приватний заклад",,,127.333333333333,128.666666666667,128,,,,,500,"Херсонська область",,76,120,2,,0,76,
"Приватний заклад “Харківський гуманітарно-екологічний інститут”",,,0,0,0,"http://ecosoc.kharkov.ua",8000,,"275",275,"Харківська область",,2,19,10,,0,2,
"Придунайська філія  Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,114,141.666666666667,124.9,"http://maup.in.ua/",7333,,,500,"Одеська область",,16,35,2,,0,16,
"Прикарпатський інститут імені Михайла Грушевського Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,104.333333333333,153.666666666667,124.6,"http://pi-maup.lviv.ua",13450,,,500,"Львівська область",,11,16,1,,0,11,
"Рівненська філія Приватного вищого навчального закладу «Європейський університет»",,,105.333333333333,105.333333333333,105.3,"http://rivne.e-u.in.ua/",8000,,,500,"Рівненська область",,10,24,2,,0,10,
"Рівненський державний гуманітарний університет",,,102,193,143.8,"http://www.rshu.edu.ua/",13882,,"164",164,"Рівненська область",451,1185,6852,6,15,0,2162,
"Рівненський інститут Київського університету права Національної академії наук України",,,113,161,140.3,"rivne.kul.kiev.ua",13500,,,500,"Рівненська область",,33,91,3,,0,33,
"Самбірська філія Тернопільського національного економічного університету",,,0,0,0,"http://sambir.tneu.edu.ua/",,,,500,"Львівська область",,55,63,1,,0,55,
"Свалявська філія Національного університету харчових технологій",,,,,,,,,,,,,28,28,1,,0,28,
"Сєвєродонецький інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,109,127.666666666667,118.3,"http://sd.maup.com.ua/",7066,,,500,"Луганська область",,2,14,7,,0,2,
"Смілянська філія Національного університету харчових технологій",,,,,,,,,,,,,71,77,1,,0,71,
"Сумська філія Глухівського національного педагогічного університету імені Олександра Довженка",,,115.333333333333,129.666666666667,122.6,"http://new.gnpu.edu.ua/uk/vartist-vchannia1.html",12000,,,500,"Сумська область",,50,50,1,,0,50,
"Сумська філія Національного університету харчових технологій",,,,,,,,,,,,,39,41,1,,0,39,
"Сумський державний педагогічний університет імені А.С. Макаренка",,,103,186.666666666667,140.6,"sspu.sumy.ua/",9141,,"154",154,"Сумська область",255,740,2957,4,12,0,1464,
"Сумський державний університет",416,1881,102.5,195.333333333333,152.3,"sumdu.edu.ua",14485,,"7",7,"Сумська область",644,1198,6737,6,10,4.5,2736,152.046783625731
"Сумський національний аграрний університет",14,55,101.333333333333,188,137.4,"http://www.sau.sumy.ua",,,"80",80,"Сумська область",554,1160,3607,3,7,3.9,2267,6.17556241729157
"Східноєвропейський національний університет імені Лесі Українки",4,542,103,197.333333333333,154.6,"http://eenu.edu.ua",17180,,"45",45,"Волинська область",718,1744,10878,6,15,135.5,2954,1.354096140826
"Східноукраїнський національний університет імені Володимира Даля",0,181,100.5,183.666666666667,137,"https://snu.edu.ua",10138,,"146",146,"Луганська область",424,1067,2963,3,7,-1,1893,0
"Таврійський державний агротехнологічний університет",12,3,102.333333333333,189,134.6,"http://www.tsatu.edu.ua",8583,,"90",90,"Запорізька область",425,989,2415,2,6,0.2,1772,6.77200902934537
"Таврійський національний університет імені В.І.Вернадського",,,104.5,190.5,154,"http://www.tnu.edu.ua",14131,,"238, 239",238,"м. Київ",277,526,3625,7,13,0,799,
"Тернопільський національний економічний університет",65,199,102,195,148.3,"http://www.tneu.edu.ua/",,,"27",27,"Тернопільська область",546,1935,9591,5,18,3.1,2625,24.7619047619048
"Тернопільський національний педагогічний університет імені Володимира Гнатюка",6,70,104,195.333333333333,153.2,"http://tnpu.edu.ua",17689,,"59",59,"Тернопільська область",509,948,5195,5,10,11.7,2044,2.93542074363992
"Тернопільський національний технічний університет імені Івана Пулюя",1,152,105,195,146.4,"http://tntu.edu.ua",11600,,"38",38,"Тернопільська область",491,1098,5922,5,12,152,1922,0.520291363163372
"Технічний коледж Тернопільського національного технічного університету імені Івана Пулюя",,,,,,,,,,,,,77,83,1,,0,77,
"Товариство з обмеженою відповідальністю «Академія адвокатури України»",,,112,180.666666666667,145.4,"http://vstup.aau.edu.ua",15040,,"161, 162",161,"м. Київ",,135,597,4,,0,254,
"Товариство з обмеженою відповідальністю «Бердянський університет менеджменту і бізнесу»",,,109,159.666666666667,125.9,"http://bumib.edu.ua",6375,,"186",186,"Запорізька область",,195,201,1,,0,365,
"Товариство з обмеженою відповідальністю «Вищий навчальний заклад Східно-європейський слов'янський університет»",,,104.666666666667,136.333333333333,119,"http://eesu.uz.ua",11000,,"280",280,"Закарпатська область",,13,49,4,,0,13,
"Товариство з обмеженою відповідальністю «Ізмаїльський інститут водного транспорту»",,,116,137,125.6,"http://iivt.org.ua",7166,2016,"263",263,"Одеська область",,23,80,3,,0,23,
"Товариство з обмеженою відповідальністю «Київський інститут банківської справи»",,,,,,,,,,,,,2,2,1,,0,34,
"Ужгородський торговельно-економічний інститут Київського національного торговельно-економічного університету",,,108,165.333333333333,134.2,"http://www.utei-knteu.org.ua/abiturientam.html",,,,500,"Закарпатська область",4,196,300,2,75,0,388,
"Українська академія друкарства",11,40,104.5,192.5,151,"http://www.uad.lviv.ua",7500,,"144",144,"Львівська область",195,482,1864,4,10,3.6,827,13.3010882708585
"Українська інженерно-педагогічна академія",11,8,104,190,132.3,"http://www.uipa.edu.ua",7500,,"64, 65",64,"Харківська область",134,535,1902,4,14,0.7,1374,8.00582241630277
"Український державний університет залізничного транспорту",6,42,100.333333333333,191.666666666667,139.9,"http://www.kart.edu.ua",9400,,"60, 61",60,"Харківська область",377,1293,3849,3,10,7,2876,2.08623087621697
"Уманська філія Приватного вищого навчального закладу «Європейський університет»",,,137,159.333333333333,145,"http://uman.e-u.in.ua",7550,,,500,"Черкаська область",,20,30,2,,0,20,
"Уманська філія Приватного вищого навчального закладу «Київський інститут бізнесу та технологій» товариство з обмеженою відповідальністю",,,126,126,126,"http://kibit.edu.ua",12600,,,500,"Черкаська область",,7,16,2,,0,7,
"Уманський державний педагогічний університет імені Павла Тичини",5,30,102,192.666666666667,135.2,"https://udpu.org.ua/",,,"70, 71",70,"Черкаська область",490,2032,4494,2,9,6,3959,1.26294518817883
"Уманський національний університет садівництва",23,8,102.666666666667,194,133.3,"http://admission.udau.edu.ua",10980,,"91",91,"Черкаська область",302,816,2857,4,9,0.3,1612,14.2679900744417
"Університет державної фіскальної служби України",,,101.5,181.666666666667,145.2,"http://www.nusta.edu.ua",12768,,"137, 138",137,"Київська область",187,896,1874,2,10,0,1485,
"Університет митної справи та фінансів",,,103.666666666667,190,147,"http://umsf.dp.ua",10700,,"173",173,"Дніпропетровська область",77,600,4317,7,56,0,1142,
"Факультет ринкових, інформаційних та інноваційних технологій Київського національного університету технологій та дизайну",,,122.666666666667,139.666666666667,132,"http://knutd.edu.ua",7800,,,500,"Черкаська область",14,85,127,1,9,0,105,
"Філія «Кременчуцький інститут вищого навчального закладу «Університет імені Альфреда Нобеля»",,,116.333333333333,154.666666666667,134.5,"http://www.ki-duep.com",8975,,,500,"Полтавська область",,12,91,8,,0,12,
"Філія економічного факультету Львівського національного університету імені Івана Франка в місті Самборі",,,,,,,,,,,,,14,17,1,,0,14,
"Філія Національного університету харчових технологій у м. Львові",,,,,,,,,,,,,17,23,1,,0,17,
"Харківська державна академія дизайну і мистецтв",,,104.5,196,156.7,"http://www.ksada.org/index.html",15791,2016,"169",169,"Харківська область",103,281,287,1,3,0,400,
"Харківська державна академія культури",,,100.5,189,145.1,"http://www.ic.ac.kharkov.ua/",10233,,"143",143,"Харківська область",223,392,1374,4,6,0,392,
"Харківська державна академія фізичної культури",,,102.5,189.666666666667,130.7,"http://www.hdafk.kharkov.ua/",13350,,"252",252,"Харківська область",199,384,708,2,4,0,545,
"Харківська державна зооветеринарна академія",,,102.666666666667,176.666666666667,135,"http://hdzva.edu.ua",10666,,"187",187,"Харківська область",80,149,153,1,2,0,546,
"Харківський державний університет харчування та торгівлі",18,8,103,179.666666666667,138.9,"http://www.hduht.edu.ua",8730,,"113",113,"Харківська область",76,755,2784,4,37,0.4,1293,13.9211136890951
"Харківський інститут фінансів Київського національного торговельно-економічного університету",,,103.333333333333,188.666666666667,146.4,"http://khif.edu.ua",7750,,,500,"Харківська область",13,49,532,11,41,0,49,
"Харківський навчально-науковий інститут Державного вищого навчального закладу «Університет банківської справи»",,,113,176.666666666667,141.6,"http://khibs.ubs.edu.ua",10000,,,500,"Харківська область",15,100,622,6,41,0,205,
"Харківський національний автомобільно-дорожній університет",12,46,101.333333333333,176.333333333333,129.1,"http://www.khadi.kharkov.ua",9800,,"48",48,"Харківська область",53,523,3743,7,71,3.8,884,13.5746606334842
"Харківський національний аграрний університет ім. В.В. Докучаєва",1,1,102.333333333333,180,137.2,"http://www.ku.kharkov.ua",6500,,"128",128,"Харківська область",218,422,2318,5,11,1,1002,0.998003992015968
"Харківський національний економічний університет імені Семена Кузнеця",26,26,101.333333333333,196,155.2,"http://www.hneu.edu.ua",9972,,"54, 55",54,"Харківська область",250,1151,8400,7,34,1,2114,12.2989593188269
"Харківський національний медичний університет",5,206,112.666666666667,158.666666666667,137.4,"http://knmu.kharkov.ua",25200,,"44",44,"Харківська область",5,68,460,7,92,41.2,773,6.46830530401035
"Харківський національний педагогічний університет імені Г.С. Сковороди",,,100,190.333333333333,146.8,"http://pu.ac.kharkov.ua/",11000,,"110",110,"Харківська область",306,946,5967,6,20,0,1364,
"Харківський національний технічний університет сільського господарства імені Петра Василенка",10,5,101.666666666667,188.666666666667,131.9,"http://www.khntusg.com.ua",6800,,"86",86,"Харківська область",388,947,3213,3,8,0.5,1752,5.70776255707763
"Харківський національний університет будівництва та архітектури",11,4,103.333333333333,193,144.5,"http://www.kstuca.kharkov.ua",9333,,"117",117,"Харківська область",188,529,2180,4,12,0.4,1140,9.64912280701754
"Харківський національний університет внутрішніх справ",9,6,101,180.5,130.6,"http://www.univd.edu.ua",13400,,"139, 140",139,"Харківська область",,519,2541,5,,0.7,628,14.3312101910828
"Харківський національний університет імені В.Н. Каразіна",768,5527,103.333333333333,198,164.1,"http://start.karazin.ua",16800,,"2-3",2,"Харківська область",972,2130,20010,9,21,7.2,3693,207.961007311129
"Харківський національний університет мистецтв імені І.П. Котляревського",,,108,191,152.8,"http://dum.kharkov.ua",17200,,"177, 178",177,"Харківська область",145,146,292,2,2,0,236,
"Харківський національний університет міського господарства імені О.М. Бекетова",89,156,103.333333333333,194,141.2,"http://abit.kme.edu.ua",12825,,"50",50,"Харківська область",469,1693,7643,5,16,1.8,2384,37.3322147651007
"Харківський національний університет Повітряних Сил імені Івана Кожедуба",9,19,115.666666666667,168,141.8,"http://www.hups.mil.gov.ua/",10250,,"89",89,"Харківська область",,39,309,8,,2.1,75,120
"Харківський національний університет радіоелектроніки",251,781,100.333333333333,196.333333333333,160.1,"http://nure.ua/uk",10900,,"15",15,"Харківська область",1057,1634,9179,6,9,3.1,2704,92.8254437869822
"Харківський регіональний інститут державного управління Національної академії державного управління при Президентові України",,,105.666666666667,191,140.9,"http://www.kbuapa.kharkov.ua",9212,,,500,"Харківська область",,117,570,5,,0,204,
"Харківський торговельно-економічний інститут Київського національного торговельно-економічного університету",,,102.666666666667,183,138.1,"http://htei.org.ua",9400,,,500,"Харківська область",17,272,1880,7,111,0,526,
"Харківський торговельно-економічний коледж Київського національного торговельно-економічного університету",,,,,,,,,,,,,83,83,1,,0,83,
"Херсонська державна морська академія",,,100,192.333333333333,141.1,"http://kma.ks.ua",19340,,"210",210,"Херсонська область",116,929,2095,2,18,0,1294,
"Херсонська філія Національного університету кораблебудування імені адмірала Макарова",,,102,186,134,"http://kb.nuos.edu.ua",,,,500,"Херсонська область",115,218,717,3,6,0,254,
"Херсонський державний університет",25,101,101,195.333333333333,141.1,"http://www.kspu.edu",12245,,"64, 65",64,"Херсонська область",382,1205,3682,3,10,4,1967,12.709710218607
"Херсонський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,118,144.333333333333,132.7,"http://maup.net.ua/",13750,,,500,"Херсонська область",,10,29,3,,0,10,
"Херсонський національний технічний університет",,,105.333333333333,191.666666666667,144.1,"http://kntu.net.ua",10800,,"111, 112",111,"Херсонська область",198,530,2558,5,13,0,1168,
"Херсонський політехнічний коледж Одеського національного політехнічного університету",,,0,0,0,"http://college.ks.ua",,,,500,"Херсонська область",,5,50,10,,0,5,
"Хмельницька гуманітарно-педагогічна академія",,,104.333333333333,188,142,"http://kgpa.km.ua",20625,,"212, 213",212,"Хмельницька область",219,336,340,1,2,0,506,
"Хмельницький інститут імені Блаженнішого Володимира, Митрополита Київського і всієї України Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,105.333333333333,134,119.8,"http://www.maup.km.ua",9525,,,500,"Хмельницька область",,29,119,4,,0,29,
"Хмельницький інститут соціальних технологій вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,106,169.666666666667,128.5,"http://www.hist.km.ua",10333,,"176",176,"Хмельницька область",,47,314,7,,0,69,
"Хмельницький кооперативний торговельно-економічний інститут",,,108.333333333333,168.333333333333,128.7,"http://www.xktei.km.ua",,,"260",260,"Хмельницька область",,247,690,3,,0,329,
"Хмельницький національний університет",46,197,101,190.666666666667,140.3,"http://prk.khnu.km.ua",11857,,"29",29,"Хмельницька область",446,1592,7565,5,17,4.3,2658,17.306245297216
"Хмельницький університет управління та права",,,108.666666666667,191.333333333333,147,"http://www.univer.km.ua",15026,,"150, 151",150,"Хмельницька область",45,217,889,4,20,0,321,
"Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)",0,7,101,194.666666666667,144.6,"http://www.kspu.kr.ua/",12886,,"92",92,"Кіровоградська область",360,857,3256,4,9,-1,1408,0
"Центральноукраїнський національний технічний університет",41,34,101.333333333333,190.333333333333,137.6,"http://www.kntu.kr.ua",11500,,"84",84,"Кіровоградська область",370,718,2788,4,8,0.8,1265,32.4110671936759
"Черкаська медична академія",,,115.666666666667,171.333333333333,146,"http://medcollege.ck.ua",,,,500,"Черкаська область",85,175,309,2,4,0,196,
"Черкаська філія Приватного вищого навчального закладу «Європейський університет»",,,130.666666666667,143.333333333333,138.9,"http://cherkasi.e-u.in.ua",,,,500,"Черкаська область",,65,88,1,,0,65,
"Черкаський державний технологічний університет",11,6,104.333333333333,194.333333333333,143.9,"https://chdtu.edu.ua",11300,,"129",129,"Черкаська область",339,764,3539,5,10,0.5,1536,7.16145833333333
"Черкаський інститут пожежної безпеки імені Героїв Чорнобиля Національного університету цивільного захисту України",,,102.5,171,129.7,"http://fire.ck.ua",9150,,,500,"Черкаська область",108,184,635,3,6,0,224,
"Черкаський навчально-науковий інститут Державного вищого навчального закладу «Університет банківської справи»",,,117,184.333333333333,148.8,"https://cibs.ubs.edu.ua",12291,,,500,"Черкаська область",21,58,331,6,16,0,158,
"Черкаський національний університет імені Богдана Хмельницького",0,221,103.5,193,147,"https://www.cdu.edu.ua",14059,,"39, 40",39,"Черкаська область",382,1179,6252,5,16,-1,1961,0
"Чернівецький національний університет імені Юрія Федьковича",236,1952,100.5,197,151.9,"http://vstup.chnu.edu.ua",14803,,"9",9,"Чернівецька область",1064,3326,19944,6,19,8.3,5486,43.018592781626
"Чернівецький торговельно - економічний інститут Київського національного торговельно - економічного університету",,,101.333333333333,188,140.7,"http://www.chtei-knteu.cv.ua",11992,,,500,"Чернівецька область",65,535,1935,4,30,0,836,
"Чернівецький факультет Національного технічного університету «Харківський політехнічний інститут»",,,103.666666666667,159,127.6,"http://www.kpi.kharkov.ua/ukr/faculty/chernivetskij/",9900,,,500,"Чернівецька область",8,69,179,3,22,0,69,
"Чернігівський інститут імені Героїв Крут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,116,166,135.7,"http://maupchern.pp.ua",9950,,,500,"Чернігівська область",,9,40,4,,0,9,
"Чернігівський інститут інформації, бізнесу і права Приватного вищого навчального закладу «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",,,106.666666666667,162,132.8,"istu.edu.ua/abiturijentu/vartist-vchannja/chernigivskii-institut-informaciji-biznesu-i-prava-pvnz-mntu/",8100,,,500,"Чернігівська область",,10,87,9,,0,10,
"Чернігівський національний педагогічний університет імені Т.Г. Шевченка",,,100.5,197.333333333333,143.2,"http://chnpu.edu.ua",,,"170",170,"Чернігівська область",368,654,2795,4,8,0,1200,
"Чернігівський національний технологічний університет",54,165,102.333333333333,193.333333333333,145.2,"http://www.stu.cn.ua",,,"60, 61",60,"Чернігівська область",406,1320,5651,4,14,3.1,2365,22.8329809725159
"Чорноморський національний університет імені Петра Могили",29,50,100,192,147.4,"https://chmnu.edu.ua",,,"121",121,"Миколаївська область",248,867,3965,5,16,1.7,1426,20.3366058906031
"Чортківський навчально-науковий інститут підприємництва і бізнесу Тернопільського національного економічного університету",,,111.666666666667,138.666666666667,124.7,"http://chnnipb.tneu.edu.ua/",,,,500,"Тернопільська область",5,71,127,2,25,0,120,
"Шосткинський інститут Сумського державного університету",,,105,173.333333333333,132.5,"http://shinst.sumdu.edu.ua",,,,500,"Сумська область",27,40,222,6,8,0,61,
"Яготинський інститут Приватного акціонерного товариства «Вищий навчальний заклад «Міжрегіональна Академія управління персоналом»",,,112.333333333333,187.333333333333,126,"http://yagotin.maup.com.ua/",,,,500,"Київська область",,25,29,1,,0,25,
